## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
100240,Puffer jacket, Activewear,By Escape Inversion,http://ats-sb.adobe.com/jjsite/include/images/active1.jpg,1849.99,http://localhost/geometrix/women/activewear/waist_puffer_jacket.html,,,,,,,,,,,,,
100241,Fur Ski jacket,Activewear,By Bella McCartney,http://ats-sb.adobe.com/jjsite/include/images/active2.jpg,2259.99,http://localhost/geometrix/women/activewear/fur_trim_ski_jacket.html,,,,,,,,,,,,,
100244,Ski jacket,Activewear,By Sapporo Sport,http://ats-sb.adobe.com/jjsite/include/images/active3.jpg,1714.99,http://localhost/geometrix/women/activewear/frontzip_ski_jacket.html,,,,,,,,,,,,,
100233,Cargo pants,Activewear,By Moab Limited,http://ats-sb.adobe.com/jjsite/include/images/active4.jpg,650,http://localhost/geometrix/women/activewear/scrunched_leg_cargo_pants.html,,,,,,,,,,,,,
101340,Black dress,Fine Apparel,By Oscar de la Venta,http://ats-sb.adobe.com/jjsite/include/images/dress.jpg,3290,http://localhost/geometrix/women/fineapparel/black_dress.html,,,,,,,,,,,,,
101341,Red dress,Fine Apparel,By Russkaya Arktika,http://ats-sb.adobe.com/jjsite/include/images/reddress.jpg,4720,http://localhost/geometrix/women/fineapparel/red_dress.html,,,,,,,,,,,,,
101333,Sequin dress,Fine Apparel,By Daphnis et Chloé,http://ats-sb.adobe.com/jjsite/include/images/sequin_dress.jpg,4250,http://localhost/geometrix/women/fineapparel/sequin_dress.html,,,,,,,,,,,,,
101344,Silk dress,Fine Apparel,By Liberdade,http://ats-sb.adobe.com/jjsite/include/images/silk_dress.jpg,2449.99,http://localhost/geometrix/women/fineapparel/silk_dress.html,,,,,,,,,,,,,
200240,Corduroy blazer,Activewear,By Sundance Casual,http://ats-sb.adobe.com/jjsite/include/images/man-active3.jpg,709.99,http://localhost/geometrix/men/activewear/corduroy_blazer.html,,,,,,,,,,,,,
200241,Military Jacket,Activewear,By Uintah Modern,http://ats-sb.adobe.com/jjsite/include/images/active_men.jpg,750,http://localhost/geometrix/men/activewear/military_jacket.html,,,,,,,,,,,,,
200244,Sport Jacket,Activewear,By Wasatch Sport,http://ats-sb.adobe.com/jjsite/include/images/man-active4.jpg,240,http://localhost/geometrix/men/activewear/sport_jacket.html,,,,,,,,,,,,,
200233,Hooded Sweater,Activewear,By Sith Lord Clothiers,http://ats-sb.adobe.com/jjsite/include/images/man-active2.jpg,450,http://localhost/geometrix/men/activewear/hooded_sweater.html,,,,,,,,,,,,,
201240,Twobuttonsuit,Fine Apparel,By Sawyer Ville Roe,http://ats-sb.adobe.com/jjsite/include/images/fa_man.jpg,1850,http://localhost/geometrix/men/fineapparel/twobuttonsuit.html,,,,,,,,,,,,,
201241,Blue Shirt,Fine Apparel,By Suomi Shirt,http://ats-sb.adobe.com/jjsite/include/images/man-apparel4.jpg,289.99,http://localhost/geometrix/men/fineapparel/blueshirt.html,,,,,,,,,,,,,
201244,French cuff shirt,Fine Apparel,By Wellington Ltd.,http://ats-sb.adobe.com/jjsite/include/images/man-apparel3.jpg,309.99,http://localhost/geometrix/men/fineapparel/frenchcuffshirt.html,,,,,,,,,,,,,
201233,Tuxedo,Fine Apparel,By Ludwig von Linderhof,http://ats-sb.adobe.com/jjsite/include/images/man-apparel2.jpg,2600,http://localhost/geometrix/men/fineapparel/tuxedo.html,,,,,,,,,,,,,
